,0,Model
0,0.9842583562277066,"CNN1 (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
1,2.25040518872811,"CNN1 (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
2,2.8329868989733713,"CNN1 (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,0.812351438699278,"CNN1 (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
1,2.9757074678721387,"CNN1 (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
2,1.9789152101493752,"CNN1 (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,0.891974773491455,"CNN1 (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
1,1.3986455088532652,"CNN1 (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
2,2.8505101502396104,"CNN1 (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,0.7978845093660997,"CNN1 (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
1,3.3147309485724,"CNN1 (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
2,1.9283420143748395,"CNN1 (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,0.8608122010308212,"CNN1 (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
1,1.6364125015650226,"CNN1 (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
2,2.170234052820675,"CNN1 (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
