,0,Model
0,0.7378161289088088,"CNN1 (Rs, u2, ETo)"
1,1.727292341171693,"CNN1 (Rs, u2, ETo)"
2,4.073362266957377,"CNN1 (Rs, u2, ETo)"
0,0.7527015659017116,"CNN1 (Rs, u2, ETo)"
1,1.2422247332701406,"CNN1 (Rs, u2, ETo)"
2,1.5847719909262836,"CNN1 (Rs, u2, ETo)"
0,0.7397220774489717,"CNN1 (Rs, u2, ETo)"
1,1.828988003459471,"CNN1 (Rs, u2, ETo)"
2,3.7509595549678614,"CNN1 (Rs, u2, ETo)"
0,0.7379668518504124,"CNN1 (Rs, u2, ETo)"
1,2.4451883261904115,"CNN1 (Rs, u2, ETo)"
2,2.534798634773248,"CNN1 (Rs, u2, ETo)"
0,0.7448102613737486,"CNN1 (Rs, u2, ETo)"
1,1.3614402296836017,"CNN1 (Rs, u2, ETo)"
2,1.3596594977370309,"CNN1 (Rs, u2, ETo)"
