,0,Model
0,0.7426728700538171,CNN1 (ETo)
1,0.7775250594063841,CNN1 (ETo)
2,0.8449779252965496,CNN1 (ETo)
0,0.7460941402990193,CNN1 (ETo)
1,0.7633977777993226,CNN1 (ETo)
2,0.7918695822846225,CNN1 (ETo)
0,0.7376761196210699,CNN1 (ETo)
1,0.7455377292211527,CNN1 (ETo)
2,0.7658450867656456,CNN1 (ETo)
0,0.7371959961542818,CNN1 (ETo)
1,0.7570462087263552,CNN1 (ETo)
2,0.7961953691327053,CNN1 (ETo)
0,0.7407405050893814,CNN1 (ETo)
1,0.7750180842771384,CNN1 (ETo)
2,0.8292956451821598,CNN1 (ETo)
