,0,Model
0,0.8388208722635884,"CNN1 (pr, ETo)"
1,1.292189543123799,"CNN1 (pr, ETo)"
2,1.3341078292293673,"CNN1 (pr, ETo)"
0,0.8621720176238024,"CNN1 (pr, ETo)"
1,1.6194318359229907,"CNN1 (pr, ETo)"
2,1.648318498529668,"CNN1 (pr, ETo)"
0,0.8122532360644676,"CNN1 (pr, ETo)"
1,1.0624189565775701,"CNN1 (pr, ETo)"
2,1.1694585643447613,"CNN1 (pr, ETo)"
0,0.7773894105939748,"CNN1 (pr, ETo)"
1,1.1583753345753787,"CNN1 (pr, ETo)"
2,1.1586654615041272,"CNN1 (pr, ETo)"
0,0.8510496842922824,"CNN1 (pr, ETo)"
1,1.1152593464418556,"CNN1 (pr, ETo)"
2,1.1773812595867583,"CNN1 (pr, ETo)"
