,0,Model
0,0.7370636597991476,"CNN1 (Rs, ETo)"
1,1.6458655738606096,"CNN1 (Rs, ETo)"
2,1.3092869931226725,"CNN1 (Rs, ETo)"
0,0.7373966043836293,"CNN1 (Rs, ETo)"
1,1.6954825593923275,"CNN1 (Rs, ETo)"
2,1.4061832161456242,"CNN1 (Rs, ETo)"
0,0.7426419773306293,"CNN1 (Rs, ETo)"
1,1.7939878353646106,"CNN1 (Rs, ETo)"
2,1.0584121132217361,"CNN1 (Rs, ETo)"
0,0.7483369541472924,"CNN1 (Rs, ETo)"
1,1.662897665539179,"CNN1 (Rs, ETo)"
2,1.3184795459259895,"CNN1 (Rs, ETo)"
0,0.7356114466357265,"CNN1 (Rs, ETo)"
1,1.3502305710693285,"CNN1 (Rs, ETo)"
2,1.0012218282016787,"CNN1 (Rs, ETo)"
