,0,Model
0,0.6090128513370243,CNN1 (ETo)
1,0.6314760465973942,CNN1 (ETo)
2,0.6765796263391437,CNN1 (ETo)
0,0.6078852351182594,CNN1 (ETo)
1,0.6347303965363987,CNN1 (ETo)
2,0.680759741314366,CNN1 (ETo)
0,0.6091213981768236,CNN1 (ETo)
1,0.6589126570570236,CNN1 (ETo)
2,0.7167635762365326,CNN1 (ETo)
0,0.6172953737680977,CNN1 (ETo)
1,0.6936326850022729,CNN1 (ETo)
2,0.7752339538558187,CNN1 (ETo)
0,0.6137661855133242,CNN1 (ETo)
1,0.6348859422977797,CNN1 (ETo)
2,0.676463608606285,CNN1 (ETo)
