,0,Model
0,0.1389577883403869,"RF (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,0.13939036622290782,"RF (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,0.13906894128888564,"RF (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,0.13922643181356523,"RF (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,0.14019679382680464,"RF (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,0.1406365624952214,"RF (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,0.13951417612131417,"RF (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,0.14078575817773992,"RF (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,0.1403134532425482,"RF (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,0.14028301549125002,"RF (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,0.1406365624952214,"RF (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,0.14020285733412985,"RF (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,0.1388093645934468,"RF (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,0.14032442609368334,"RF (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,0.1390169554212463,"RF (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,0.13981763325168983,"RF (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,0.13980034898741164,"RF (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,0.14041808113115564,"RF (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,0.13997581682206203,"RF (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,0.1401184841345603,"RF (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,0.13981763325168983,"RF (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,0.13929751151610387,"RF (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,0.13922643181356523,"RF (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,0.14032770631934657,"RF (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,0.13997581682206203,"RF (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,0.13861284280920572,"RF (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,0.1389577883403869,"RF (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,0.13870389824896523,"RF (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,0.13951417612131417,"RF (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,0.14136981177892732,"RF (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
