,0,Model
0,0.7812297387795549,"CNN1 (RH, ETo)"
1,5.519115355709294,"CNN1 (RH, ETo)"
2,1.9904056133962784,"CNN1 (RH, ETo)"
0,0.8281915393732796,"CNN1 (RH, ETo)"
1,14.584521196693288,"CNN1 (RH, ETo)"
2,9.206805532852046,"CNN1 (RH, ETo)"
0,0.7870907076725575,"CNN1 (RH, ETo)"
1,5.042675841360248,"CNN1 (RH, ETo)"
2,4.099047247447689,"CNN1 (RH, ETo)"
0,0.7875578577051269,"CNN1 (RH, ETo)"
1,8.484379233202587,"CNN1 (RH, ETo)"
2,2.5081782848474403,"CNN1 (RH, ETo)"
0,0.740878182914157,"CNN1 (RH, ETo)"
1,3.8477078766946424,"CNN1 (RH, ETo)"
2,2.7250087726690357,"CNN1 (RH, ETo)"
