,0,Model
0,0.756395337973319,"CNN1 (Tmax, ETo)"
1,1.5754308154717003,"CNN1 (Tmax, ETo)"
2,2.002012569186848,"CNN1 (Tmax, ETo)"
0,0.7694291379260977,"CNN1 (Tmax, ETo)"
1,1.0747603209257526,"CNN1 (Tmax, ETo)"
2,1.2597299413242724,"CNN1 (Tmax, ETo)"
0,0.742997241504939,"CNN1 (Tmax, ETo)"
1,2.8745041494311634,"CNN1 (Tmax, ETo)"
2,1.9931610311771213,"CNN1 (Tmax, ETo)"
0,0.764804343061621,"CNN1 (Tmax, ETo)"
1,2.3339839395577218,"CNN1 (Tmax, ETo)"
2,1.6477622984957978,"CNN1 (Tmax, ETo)"
0,0.7510144829325075,"CNN1 (Tmax, ETo)"
1,1.513611819544297,"CNN1 (Tmax, ETo)"
2,1.4952586510875656,"CNN1 (Tmax, ETo)"
