,0,Model
0,0.7481842692204751,"CNN1 (Tmin, ETo)"
1,2.2761601412088357,"CNN1 (Tmin, ETo)"
2,2.0103211567132124,"CNN1 (Tmin, ETo)"
0,0.7725008509392643,"CNN1 (Tmin, ETo)"
1,1.255804678603742,"CNN1 (Tmin, ETo)"
2,1.0920817142475394,"CNN1 (Tmin, ETo)"
0,0.7542623198091688,"CNN1 (Tmin, ETo)"
1,2.290183609590692,"CNN1 (Tmin, ETo)"
2,1.5310297731222937,"CNN1 (Tmin, ETo)"
0,0.7377778477511183,"CNN1 (Tmin, ETo)"
1,2.748830874640168,"CNN1 (Tmin, ETo)"
2,1.901027891599261,"CNN1 (Tmin, ETo)"
0,0.7396644461618531,"CNN1 (Tmin, ETo)"
1,2.0024963607167483,"CNN1 (Tmin, ETo)"
2,1.604504836901318,"CNN1 (Tmin, ETo)"
