Data;Rs;u2;Tmax;Tmin;RH;pr;ETo
2000-01-01;10.5;1.0;23.2;18.9;93.7;22.2;2.2
2000-01-02;11.1;1.4;25.2;19.4;90.1;24.8;2.4
2000-01-03;11.5;1.6;26.4;19.0;86.4;30.2;2.6
2000-01-04;12.3;1.3;27.6;19.0;84.2;34.7;2.8
2000-01-05;21.9;1.0;31.0;19.4;73.8;9.9;4.7
2000-01-06;25.9;1.0;32.6;18.7;66.7;0.0;5.5
2000-01-07;27.3;1.1;30.5;18.8;58.7;0.0;5.7
2000-01-08;26.8;1.3;30.0;15.8;64.0;0.0;5.5
2000-01-09;27.1;1.0;30.3;17.7;63.6;0.0;5.5
2000-01-10;27.8;1.2;31.1;17.9;61.6;0.0;5.8
2000-01-11;28.4;1.1;31.7;16.5;60.0;0.0;5.9
2000-01-12;26.4;1.1;32.5;16.1;61.2;0.0;5.6
2000-01-13;28.2;1.0;33.2;17.0;61.6;0.0;5.9
2000-01-14;26.5;0.9;35.2;19.0;60.1;0.0;5.8
2000-01-15;25.4;0.7;34.6;19.5;60.2;0.0;5.5
2000-01-16;15.7;0.7;32.2;21.3;78.2;1.4;3.6
2000-01-17;17.9;0.6;32.2;20.8;76.3;13.6;4.0
2000-01-18;21.4;0.7;31.4;21.3;75.6;1.4;4.6
2000-01-19;15.6;0.8;31.4;20.2;84.3;2.6;3.5
2000-01-20;16.5;0.8;31.1;19.8;81.6;14.4;3.6
2000-01-21;17.8;0.9;29.5;20.7;76.9;26.8;3.9
2000-01-22;23.7;0.6;33.1;19.1;73.3;8.2;5.0
2000-01-23;19.8;1.0;31.9;21.9;72.7;5.4;4.5
2000-01-24;22.4;1.1;32.6;20.8;77.7;0.0;4.9
2000-01-25;23.8;1.0;32.0;18.8;75.4;39.9;5.0
2000-01-26;12.7;1.0;28.2;21.1;87.8;3.3;2.8
2000-01-27;10.4;0.8;25.3;18.4;91.8;15.1;2.2
2000-01-28;10.7;0.8;22.5;17.5;92.4;72.9;2.2
2000-01-29;13.8;0.7;27.1;17.9;87.3;22.5;2.9
2000-01-30;25.0;0.7;32.8;17.6;77.6;11.2;5.1
