,0,Model
0,1.1625027543722357,"TimeGPT (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,1.1620227428810674,"TimeGPT (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,1.1616218634238464,"TimeGPT (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,1.161966779920123,"TimeGPT (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,1.1627034696308538,"TimeGPT (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,1.1615875867875265,"TimeGPT (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,1.161614782405222,"TimeGPT (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,1.1620206911244124,"TimeGPT (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,1.1616244803111102,"TimeGPT (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,1.1615729111519681,"TimeGPT (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,1.161738386161385,"TimeGPT (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,1.1615720388181423,"TimeGPT (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,1.162541054441661,"TimeGPT (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,1.1615850724435475,"TimeGPT (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,1.1621193252265722,"TimeGPT (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,1.1620415675792775,"TimeGPT (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,1.1616142692862532,"TimeGPT (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,1.1622288746660634,"TimeGPT (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,1.1625539746623792,"TimeGPT (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,1.1615718335630292,"TimeGPT (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,1.161713348355591,"TimeGPT (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,1.1615879459790792,"TimeGPT (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,1.161571474366494,"TimeGPT (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,1.162094808535284,"TimeGPT (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,1.1619511344306293,"TimeGPT (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,1.161625968342415,"TimeGPT (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,1.1616728660075104,"TimeGPT (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,1.1620728046208813,"TimeGPT (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,1.1616100103900635,"TimeGPT (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
0,1.1615776833195386,"TimeGPT (Rs, u2, Tmax, Tmin, RH, pr, ETo)"
