,0,Model
0,0.8544317672806718,"CNN1 (pr, ETo)"
1,1.6661789735802355,"CNN1 (pr, ETo)"
2,1.540856669794655,"CNN1 (pr, ETo)"
3,1.6940399382292277,"CNN1 (pr, ETo)"
4,1.5704125236960473,"CNN1 (pr, ETo)"
5,1.6122500717858625,"CNN1 (pr, ETo)"
6,1.5332671177769148,"CNN1 (pr, ETo)"
7,1.573274824656614,"CNN1 (pr, ETo)"
8,1.6641983311470685,"CNN1 (pr, ETo)"
9,1.7135735494055424,"CNN1 (pr, ETo)"
0,0.9037357231490388,"CNN1 (pr, ETo)"
1,1.464320750302725,"CNN1 (pr, ETo)"
2,1.5063946613069665,"CNN1 (pr, ETo)"
3,1.705267483139124,"CNN1 (pr, ETo)"
4,1.5993965111843866,"CNN1 (pr, ETo)"
5,1.6374253974912059,"CNN1 (pr, ETo)"
6,1.5721790463170104,"CNN1 (pr, ETo)"
7,1.6233568581990312,"CNN1 (pr, ETo)"
8,1.695319051250926,"CNN1 (pr, ETo)"
9,1.73188580557387,"CNN1 (pr, ETo)"
0,0.8619531799475857,"CNN1 (pr, ETo)"
1,1.282572607310167,"CNN1 (pr, ETo)"
2,1.2973854412736971,"CNN1 (pr, ETo)"
3,1.4856768128392186,"CNN1 (pr, ETo)"
4,1.334761413044365,"CNN1 (pr, ETo)"
5,1.5099762395386518,"CNN1 (pr, ETo)"
6,1.3726731200810416,"CNN1 (pr, ETo)"
7,1.4208359080138198,"CNN1 (pr, ETo)"
8,1.4839340798242326,"CNN1 (pr, ETo)"
9,1.5274232578419513,"CNN1 (pr, ETo)"
0,0.9254534000784366,"CNN1 (pr, ETo)"
1,1.4617303496183156,"CNN1 (pr, ETo)"
2,1.4221397780682312,"CNN1 (pr, ETo)"
3,1.6393865766697835,"CNN1 (pr, ETo)"
4,1.5234535720003188,"CNN1 (pr, ETo)"
5,1.6429260089839937,"CNN1 (pr, ETo)"
6,1.620852868614313,"CNN1 (pr, ETo)"
7,1.7105579053511586,"CNN1 (pr, ETo)"
8,1.7781804968457149,"CNN1 (pr, ETo)"
9,1.8231010167439723,"CNN1 (pr, ETo)"
0,0.8851209685632357,"CNN1 (pr, ETo)"
1,1.3425565807990913,"CNN1 (pr, ETo)"
2,1.3129441569364817,"CNN1 (pr, ETo)"
3,1.6391414213024704,"CNN1 (pr, ETo)"
4,1.4640090500492058,"CNN1 (pr, ETo)"
5,1.4928908063882114,"CNN1 (pr, ETo)"
6,1.355821057812088,"CNN1 (pr, ETo)"
7,1.3555778970314771,"CNN1 (pr, ETo)"
8,1.41839326147448,"CNN1 (pr, ETo)"
9,1.4746492602387056,"CNN1 (pr, ETo)"
