,0,Model
0,0.648578107015208,"CNN1 (RH, ETo)"
1,1.223163108582476,"CNN1 (RH, ETo)"
2,2.5469032043100106,"CNN1 (RH, ETo)"
3,3.7702720302207813,"CNN1 (RH, ETo)"
4,4.1812481678310895,"CNN1 (RH, ETo)"
5,1.7411618331070693,"CNN1 (RH, ETo)"
6,1.4778461645035308,"CNN1 (RH, ETo)"
7,2.2926176028756236,"CNN1 (RH, ETo)"
8,2.163196751368823,"CNN1 (RH, ETo)"
9,1.8868626240177824,"CNN1 (RH, ETo)"
0,0.6309800191710255,"CNN1 (RH, ETo)"
1,5.184400032775922,"CNN1 (RH, ETo)"
2,0.9502344584989711,"CNN1 (RH, ETo)"
3,3.012933905299412,"CNN1 (RH, ETo)"
4,2.1664250580747737,"CNN1 (RH, ETo)"
5,4.4066889600456935,"CNN1 (RH, ETo)"
6,2.134099987269742,"CNN1 (RH, ETo)"
7,1.0045125900650957,"CNN1 (RH, ETo)"
8,1.1250752855172477,"CNN1 (RH, ETo)"
9,1.5092251034351754,"CNN1 (RH, ETo)"
0,0.6297300793055091,"CNN1 (RH, ETo)"
1,4.004755255577107,"CNN1 (RH, ETo)"
2,1.2400467168322367,"CNN1 (RH, ETo)"
3,5.531272568381506,"CNN1 (RH, ETo)"
4,3.920520192076516,"CNN1 (RH, ETo)"
5,1.8829431363191422,"CNN1 (RH, ETo)"
6,1.4206568477722532,"CNN1 (RH, ETo)"
7,1.644476708731636,"CNN1 (RH, ETo)"
8,1.3088166286198273,"CNN1 (RH, ETo)"
9,1.7508944377320883,"CNN1 (RH, ETo)"
0,0.6234114486672898,"CNN1 (RH, ETo)"
1,4.991276904634283,"CNN1 (RH, ETo)"
2,3.219718808210064,"CNN1 (RH, ETo)"
3,1.611022245793856,"CNN1 (RH, ETo)"
4,2.1192759088045667,"CNN1 (RH, ETo)"
5,4.703590149679529,"CNN1 (RH, ETo)"
6,1.9248107640439682,"CNN1 (RH, ETo)"
7,1.555559323531037,"CNN1 (RH, ETo)"
8,1.6666916450745661,"CNN1 (RH, ETo)"
9,2.025873290229874,"CNN1 (RH, ETo)"
0,0.6624337241063109,"CNN1 (RH, ETo)"
1,10.715177676487984,"CNN1 (RH, ETo)"
2,5.217905465990932,"CNN1 (RH, ETo)"
3,8.347711254950436,"CNN1 (RH, ETo)"
4,1.4329785192137583,"CNN1 (RH, ETo)"
5,6.039728166282072,"CNN1 (RH, ETo)"
6,2.7364641415332467,"CNN1 (RH, ETo)"
7,1.305235226481605,"CNN1 (RH, ETo)"
8,1.6324465967298059,"CNN1 (RH, ETo)"
9,1.177535238719565,"CNN1 (RH, ETo)"
