,0,Model
0,0.6067859004306193,"CNN1 (Rs, ETo)"
1,1.5316579969019364,"CNN1 (Rs, ETo)"
2,1.3973959968615657,"CNN1 (Rs, ETo)"
3,1.0582223313027284,"CNN1 (Rs, ETo)"
4,1.1870093430313295,"CNN1 (Rs, ETo)"
5,1.3649708541631693,"CNN1 (Rs, ETo)"
6,1.0942350157692335,"CNN1 (Rs, ETo)"
7,0.9366963147223162,"CNN1 (Rs, ETo)"
8,1.0909774139292088,"CNN1 (Rs, ETo)"
9,1.0000238493955311,"CNN1 (Rs, ETo)"
0,0.6371373215206801,"CNN1 (Rs, ETo)"
1,1.2782883263251752,"CNN1 (Rs, ETo)"
2,0.8774785596548512,"CNN1 (Rs, ETo)"
3,1.3261803941636636,"CNN1 (Rs, ETo)"
4,0.8811513961124815,"CNN1 (Rs, ETo)"
5,1.7180570704149234,"CNN1 (Rs, ETo)"
6,0.9804794413437699,"CNN1 (Rs, ETo)"
7,0.8347719009905,"CNN1 (Rs, ETo)"
8,0.9348905414961476,"CNN1 (Rs, ETo)"
9,0.9584209561076914,"CNN1 (Rs, ETo)"
0,0.6133635271590882,"CNN1 (Rs, ETo)"
1,1.5056051802450217,"CNN1 (Rs, ETo)"
2,0.8432619534258681,"CNN1 (Rs, ETo)"
3,0.8061605398385622,"CNN1 (Rs, ETo)"
4,0.7703703453153826,"CNN1 (Rs, ETo)"
5,0.7315945670474882,"CNN1 (Rs, ETo)"
6,1.37159382952656,"CNN1 (Rs, ETo)"
7,1.1956708454892102,"CNN1 (Rs, ETo)"
8,1.3198467565446166,"CNN1 (Rs, ETo)"
9,1.3355780307531546,"CNN1 (Rs, ETo)"
0,0.6266888000087201,"CNN1 (Rs, ETo)"
1,2.2390149714940497,"CNN1 (Rs, ETo)"
2,0.7283647021011643,"CNN1 (Rs, ETo)"
3,1.8749243961397786,"CNN1 (Rs, ETo)"
4,0.7867079559096188,"CNN1 (Rs, ETo)"
5,1.5254345543482146,"CNN1 (Rs, ETo)"
6,1.0039425248111833,"CNN1 (Rs, ETo)"
7,0.9187534523678241,"CNN1 (Rs, ETo)"
8,0.8803771561219392,"CNN1 (Rs, ETo)"
9,1.063772904059649,"CNN1 (Rs, ETo)"
0,0.6101153274010135,"CNN1 (Rs, ETo)"
1,2.2682533393064475,"CNN1 (Rs, ETo)"
2,1.4787910005079992,"CNN1 (Rs, ETo)"
3,1.2984057901564838,"CNN1 (Rs, ETo)"
4,0.9947854216457537,"CNN1 (Rs, ETo)"
5,1.0393045854582792,"CNN1 (Rs, ETo)"
6,0.893200937784912,"CNN1 (Rs, ETo)"
7,1.0977274018853438,"CNN1 (Rs, ETo)"
8,1.4859059524552034,"CNN1 (Rs, ETo)"
9,1.2700615015628993,"CNN1 (Rs, ETo)"
