,0,Model
0,0.6217829984810339,"CNN1 (Rs, u2, ETo)"
1,0.961768859386193,"CNN1 (Rs, u2, ETo)"
2,0.9603147477374545,"CNN1 (Rs, u2, ETo)"
3,1.241360078232154,"CNN1 (Rs, u2, ETo)"
4,1.2589112589897686,"CNN1 (Rs, u2, ETo)"
5,1.3927084474808604,"CNN1 (Rs, u2, ETo)"
6,0.8789903726700239,"CNN1 (Rs, u2, ETo)"
7,0.7632099564983021,"CNN1 (Rs, u2, ETo)"
8,0.9293928369797898,"CNN1 (Rs, u2, ETo)"
9,1.3176877615875358,"CNN1 (Rs, u2, ETo)"
0,0.6114360762654273,"CNN1 (Rs, u2, ETo)"
1,2.7949833929282035,"CNN1 (Rs, u2, ETo)"
2,1.7621241427254368,"CNN1 (Rs, u2, ETo)"
3,1.1629689623004593,"CNN1 (Rs, u2, ETo)"
4,1.7246355620544325,"CNN1 (Rs, u2, ETo)"
5,1.9923303571464825,"CNN1 (Rs, u2, ETo)"
6,1.4227574194005577,"CNN1 (Rs, u2, ETo)"
7,0.9393359269408592,"CNN1 (Rs, u2, ETo)"
8,1.2908758531793993,"CNN1 (Rs, u2, ETo)"
9,1.4601094544697608,"CNN1 (Rs, u2, ETo)"
0,0.6169931272697278,"CNN1 (Rs, u2, ETo)"
1,1.1323034191510144,"CNN1 (Rs, u2, ETo)"
2,1.074147674114109,"CNN1 (Rs, u2, ETo)"
3,1.133322576513525,"CNN1 (Rs, u2, ETo)"
4,1.552602670438547,"CNN1 (Rs, u2, ETo)"
5,1.6350228017513848,"CNN1 (Rs, u2, ETo)"
6,1.4589383529368811,"CNN1 (Rs, u2, ETo)"
7,1.5086321502739555,"CNN1 (Rs, u2, ETo)"
8,1.6965698193469188,"CNN1 (Rs, u2, ETo)"
9,1.2007848403514594,"CNN1 (Rs, u2, ETo)"
0,0.6106260612082303,"CNN1 (Rs, u2, ETo)"
1,0.9965441011223406,"CNN1 (Rs, u2, ETo)"
2,1.7062313504341595,"CNN1 (Rs, u2, ETo)"
3,1.3651270936619637,"CNN1 (Rs, u2, ETo)"
4,1.0778659025435064,"CNN1 (Rs, u2, ETo)"
5,1.750179409492734,"CNN1 (Rs, u2, ETo)"
6,1.1027019178846922,"CNN1 (Rs, u2, ETo)"
7,0.8293129683673413,"CNN1 (Rs, u2, ETo)"
8,1.8664087020940532,"CNN1 (Rs, u2, ETo)"
9,1.2614081223273925,"CNN1 (Rs, u2, ETo)"
0,0.6490060773449715,"CNN1 (Rs, u2, ETo)"
1,1.8031896542374066,"CNN1 (Rs, u2, ETo)"
2,2.774771925354818,"CNN1 (Rs, u2, ETo)"
3,1.4431536224129666,"CNN1 (Rs, u2, ETo)"
4,2.1804635113921704,"CNN1 (Rs, u2, ETo)"
5,2.269106230564253,"CNN1 (Rs, u2, ETo)"
6,1.5868234792498832,"CNN1 (Rs, u2, ETo)"
7,1.3279105814957968,"CNN1 (Rs, u2, ETo)"
8,1.8357232005061341,"CNN1 (Rs, u2, ETo)"
9,1.6766483620449677,"CNN1 (Rs, u2, ETo)"
