,0,Model
0,0.6258812854641498,"CNN1 (Tmax, ETo)"
1,1.9381012339145303,"CNN1 (Tmax, ETo)"
2,1.1604658274240942,"CNN1 (Tmax, ETo)"
3,1.1886087081773755,"CNN1 (Tmax, ETo)"
4,1.38413254834477,"CNN1 (Tmax, ETo)"
5,1.6210595186565333,"CNN1 (Tmax, ETo)"
6,1.4400995099851404,"CNN1 (Tmax, ETo)"
7,1.9061097111832057,"CNN1 (Tmax, ETo)"
8,1.7254513804008675,"CNN1 (Tmax, ETo)"
9,1.4692140479431155,"CNN1 (Tmax, ETo)"
0,0.6189736833427257,"CNN1 (Tmax, ETo)"
1,0.9760176891724087,"CNN1 (Tmax, ETo)"
2,0.9759519169175258,"CNN1 (Tmax, ETo)"
3,1.2212572277267102,"CNN1 (Tmax, ETo)"
4,0.990682564612839,"CNN1 (Tmax, ETo)"
5,1.7122642775404862,"CNN1 (Tmax, ETo)"
6,1.1841345978066153,"CNN1 (Tmax, ETo)"
7,1.3477492893872989,"CNN1 (Tmax, ETo)"
8,1.4435275912439551,"CNN1 (Tmax, ETo)"
9,1.358418615474786,"CNN1 (Tmax, ETo)"
0,0.620106022171384,"CNN1 (Tmax, ETo)"
1,1.091233268769581,"CNN1 (Tmax, ETo)"
2,1.0814142040164585,"CNN1 (Tmax, ETo)"
3,0.97588978493543,"CNN1 (Tmax, ETo)"
4,0.9489691535686262,"CNN1 (Tmax, ETo)"
5,1.7253276944680218,"CNN1 (Tmax, ETo)"
6,1.0422847686542538,"CNN1 (Tmax, ETo)"
7,1.5511932417227692,"CNN1 (Tmax, ETo)"
8,1.5822414935990134,"CNN1 (Tmax, ETo)"
9,1.4936948513243058,"CNN1 (Tmax, ETo)"
0,0.6260695006541821,"CNN1 (Tmax, ETo)"
1,2.9158464964720046,"CNN1 (Tmax, ETo)"
2,1.2433706878668198,"CNN1 (Tmax, ETo)"
3,1.8341374260196253,"CNN1 (Tmax, ETo)"
4,1.104247768402713,"CNN1 (Tmax, ETo)"
5,1.0871216081599575,"CNN1 (Tmax, ETo)"
6,0.8489128806712102,"CNN1 (Tmax, ETo)"
7,1.438849604824549,"CNN1 (Tmax, ETo)"
8,1.4046847437222714,"CNN1 (Tmax, ETo)"
9,1.374057137201645,"CNN1 (Tmax, ETo)"
0,0.6326352879061565,"CNN1 (Tmax, ETo)"
1,2.610319463840028,"CNN1 (Tmax, ETo)"
2,0.9436754456295577,"CNN1 (Tmax, ETo)"
3,1.7241913592999325,"CNN1 (Tmax, ETo)"
4,1.0615771436026138,"CNN1 (Tmax, ETo)"
5,1.03041020592358,"CNN1 (Tmax, ETo)"
6,2.156401812342762,"CNN1 (Tmax, ETo)"
7,1.8508950831885287,"CNN1 (Tmax, ETo)"
8,1.9611650953904485,"CNN1 (Tmax, ETo)"
9,1.9269277418099375,"CNN1 (Tmax, ETo)"
