,0,Model
0,0.6065358281986508,"CNN1 (u2, ETo)"
1,0.6458286119203176,"CNN1 (u2, ETo)"
2,0.7615808576207229,"CNN1 (u2, ETo)"
3,0.9737141493263249,"CNN1 (u2, ETo)"
4,0.9709385155269392,"CNN1 (u2, ETo)"
5,0.9178426233249863,"CNN1 (u2, ETo)"
6,0.8469205506974511,"CNN1 (u2, ETo)"
7,0.9073037530387594,"CNN1 (u2, ETo)"
8,0.8745180192342229,"CNN1 (u2, ETo)"
9,0.9284385578771364,"CNN1 (u2, ETo)"
0,0.6233467735220376,"CNN1 (u2, ETo)"
1,0.7803767902983596,"CNN1 (u2, ETo)"
2,1.207238364691589,"CNN1 (u2, ETo)"
3,1.023503752047561,"CNN1 (u2, ETo)"
4,0.9294412391416753,"CNN1 (u2, ETo)"
5,0.7212658853235034,"CNN1 (u2, ETo)"
6,0.758324905417165,"CNN1 (u2, ETo)"
7,0.7062945973703485,"CNN1 (u2, ETo)"
8,0.787703638226948,"CNN1 (u2, ETo)"
9,0.8474950819460391,"CNN1 (u2, ETo)"
0,0.6136563159224596,"CNN1 (u2, ETo)"
1,0.7544172824060326,"CNN1 (u2, ETo)"
2,0.7743114288440742,"CNN1 (u2, ETo)"
3,0.8939559559069814,"CNN1 (u2, ETo)"
4,0.7762515969969552,"CNN1 (u2, ETo)"
5,0.7564420844249544,"CNN1 (u2, ETo)"
6,0.7690345488694703,"CNN1 (u2, ETo)"
7,0.8804987674630698,"CNN1 (u2, ETo)"
8,1.018977729821325,"CNN1 (u2, ETo)"
9,1.0043731733857908,"CNN1 (u2, ETo)"
0,0.6091575113294116,"CNN1 (u2, ETo)"
1,0.6541035033329218,"CNN1 (u2, ETo)"
2,0.7411514152092253,"CNN1 (u2, ETo)"
3,0.7580165579365866,"CNN1 (u2, ETo)"
4,0.7476034379552768,"CNN1 (u2, ETo)"
5,0.8500422512282335,"CNN1 (u2, ETo)"
6,0.7569696717761333,"CNN1 (u2, ETo)"
7,0.797432508126912,"CNN1 (u2, ETo)"
8,0.8022976779050699,"CNN1 (u2, ETo)"
9,0.8653517892649211,"CNN1 (u2, ETo)"
0,0.6129039853967909,"CNN1 (u2, ETo)"
1,0.6410486214858987,"CNN1 (u2, ETo)"
2,0.7689274382835453,"CNN1 (u2, ETo)"
3,0.8298918208050358,"CNN1 (u2, ETo)"
4,0.7966416842447955,"CNN1 (u2, ETo)"
5,0.7958231660689422,"CNN1 (u2, ETo)"
6,0.7139067938095678,"CNN1 (u2, ETo)"
7,0.7725528116156908,"CNN1 (u2, ETo)"
8,0.829791355558154,"CNN1 (u2, ETo)"
9,0.8826769092479629,"CNN1 (u2, ETo)"
