,0,Model
0,0.623069364498505,"CNN1 (u2, Tmax, ETo)"
1,1.3270448318453183,"CNN1 (u2, Tmax, ETo)"
2,2.124902153706727,"CNN1 (u2, Tmax, ETo)"
3,1.295040670571716,"CNN1 (u2, Tmax, ETo)"
4,1.9023907063564844,"CNN1 (u2, Tmax, ETo)"
5,1.996085286314012,"CNN1 (u2, Tmax, ETo)"
6,2.54410375587617,"CNN1 (u2, Tmax, ETo)"
7,1.6384358286452572,"CNN1 (u2, Tmax, ETo)"
8,1.4457250603788039,"CNN1 (u2, Tmax, ETo)"
9,0.8451437738655208,"CNN1 (u2, Tmax, ETo)"
0,0.6212892523617424,"CNN1 (u2, Tmax, ETo)"
1,3.064863719485576,"CNN1 (u2, Tmax, ETo)"
2,2.574762091681844,"CNN1 (u2, Tmax, ETo)"
3,1.799518926933981,"CNN1 (u2, Tmax, ETo)"
4,1.5185747819590796,"CNN1 (u2, Tmax, ETo)"
5,2.2498164027263203,"CNN1 (u2, Tmax, ETo)"
6,1.419431293373399,"CNN1 (u2, Tmax, ETo)"
7,1.051028254112676,"CNN1 (u2, Tmax, ETo)"
8,2.9911981486430674,"CNN1 (u2, Tmax, ETo)"
9,1.0163266345089654,"CNN1 (u2, Tmax, ETo)"
0,0.616761319716678,"CNN1 (u2, Tmax, ETo)"
1,1.5065137314791757,"CNN1 (u2, Tmax, ETo)"
2,1.640902413692373,"CNN1 (u2, Tmax, ETo)"
3,1.5085300340673273,"CNN1 (u2, Tmax, ETo)"
4,1.248120084205992,"CNN1 (u2, Tmax, ETo)"
5,1.8536675149624975,"CNN1 (u2, Tmax, ETo)"
6,2.1600951719466255,"CNN1 (u2, Tmax, ETo)"
7,1.7541762326338444,"CNN1 (u2, Tmax, ETo)"
8,1.0202266701715226,"CNN1 (u2, Tmax, ETo)"
9,1.7148454406681684,"CNN1 (u2, Tmax, ETo)"
0,0.6196251652932337,"CNN1 (u2, Tmax, ETo)"
1,2.198552894777955,"CNN1 (u2, Tmax, ETo)"
2,1.9897614300182862,"CNN1 (u2, Tmax, ETo)"
3,1.4049562007255139,"CNN1 (u2, Tmax, ETo)"
4,1.0816264295063507,"CNN1 (u2, Tmax, ETo)"
5,0.8095950660749925,"CNN1 (u2, Tmax, ETo)"
6,1.628974788381685,"CNN1 (u2, Tmax, ETo)"
7,4.480422706434986,"CNN1 (u2, Tmax, ETo)"
8,1.60727531947395,"CNN1 (u2, Tmax, ETo)"
9,1.4238486503856533,"CNN1 (u2, Tmax, ETo)"
0,0.6581726626818545,"CNN1 (u2, Tmax, ETo)"
1,2.246532916869516,"CNN1 (u2, Tmax, ETo)"
2,1.2397047074307823,"CNN1 (u2, Tmax, ETo)"
3,0.9974042561815928,"CNN1 (u2, Tmax, ETo)"
4,1.6943978065992196,"CNN1 (u2, Tmax, ETo)"
5,1.7716404679111417,"CNN1 (u2, Tmax, ETo)"
6,1.9744981936251387,"CNN1 (u2, Tmax, ETo)"
7,1.1594241599323794,"CNN1 (u2, Tmax, ETo)"
8,0.8416917214412466,"CNN1 (u2, Tmax, ETo)"
9,3.323978806287149,"CNN1 (u2, Tmax, ETo)"
