,0,Model
0,0.6145070117163324,CNN1 (ETo)
1,0.675023129305069,CNN1 (ETo)
2,0.7631987535847962,CNN1 (ETo)
3,0.8273667801271944,CNN1 (ETo)
4,0.8876454231778819,CNN1 (ETo)
5,0.9438732713505564,CNN1 (ETo)
6,0.9966020315122114,CNN1 (ETo)
7,1.0402234174745653,CNN1 (ETo)
8,1.0760627114658408,CNN1 (ETo)
9,1.1067517263110125,CNN1 (ETo)
0,0.6192266471691034,CNN1 (ETo)
1,0.6928169521958609,CNN1 (ETo)
2,0.7725286712666407,CNN1 (ETo)
3,0.8293649505021551,CNN1 (ETo)
4,0.8921553263510323,CNN1 (ETo)
5,0.9521617352329944,CNN1 (ETo)
6,1.0038041230417052,CNN1 (ETo)
7,1.0465685955363837,CNN1 (ETo)
8,1.082346236461996,CNN1 (ETo)
9,1.111973857038597,CNN1 (ETo)
0,0.6131491975183136,CNN1 (ETo)
1,0.6618222439951434,CNN1 (ETo)
2,0.7411438073163785,CNN1 (ETo)
3,0.810814396260979,CNN1 (ETo)
4,0.8706936915219449,CNN1 (ETo)
5,0.9212869601563235,CNN1 (ETo)
6,0.9639470037362564,CNN1 (ETo)
7,1.0001763591085688,CNN1 (ETo)
8,1.0307846832621403,CNN1 (ETo)
9,1.0564864359876993,CNN1 (ETo)
0,0.6115616378983487,CNN1 (ETo)
1,0.657560556445576,CNN1 (ETo)
2,0.7070187564493176,CNN1 (ETo)
3,0.7464756381623948,CNN1 (ETo)
4,0.7924012842007272,CNN1 (ETo)
5,0.8368088307840734,CNN1 (ETo)
6,0.8768904481094927,CNN1 (ETo)
7,0.9107101227683448,CNN1 (ETo)
8,0.9401401954911964,CNN1 (ETo)
9,0.9654752360293973,CNN1 (ETo)
0,0.6121577008259949,CNN1 (ETo)
1,0.6668956190108031,CNN1 (ETo)
2,0.7319369748594572,CNN1 (ETo)
3,0.7771432477069349,CNN1 (ETo)
4,0.8234284514513732,CNN1 (ETo)
5,0.8682467166461787,CNN1 (ETo)
6,0.9073627865365708,CNN1 (ETo)
7,0.9395609373621978,CNN1 (ETo)
8,0.9662839500569804,CNN1 (ETo)
9,0.9887663048191841,CNN1 (ETo)
