,0,Model
0,0.6155510419769084,CNN1.1 (ETo)
1,0.6722192208430574,CNN1.1 (ETo)
2,0.750017581154734,CNN1.1 (ETo)
3,0.823452839501669,CNN1.1 (ETo)
4,0.8916186131837759,CNN1.1 (ETo)
5,0.9513421107976283,CNN1.1 (ETo)
6,1.0002207305565771,CNN1.1 (ETo)
7,1.039301643348153,CNN1.1 (ETo)
8,1.070122275644846,CNN1.1 (ETo)
9,1.094311199650647,CNN1.1 (ETo)
0,0.6086602293254514,CNN1.1 (ETo)
1,0.6393154150583737,CNN1.1 (ETo)
2,0.6842692261059301,CNN1.1 (ETo)
3,0.7158530513066187,CNN1.1 (ETo)
4,0.7487351104341141,CNN1.1 (ETo)
5,0.7803568046603799,CNN1.1 (ETo)
6,0.8092372014712772,CNN1.1 (ETo)
7,0.8341591621506,CNN1.1 (ETo)
8,0.8553371332293008,CNN1.1 (ETo)
9,0.8731432636888511,CNN1.1 (ETo)
0,0.610155596350871,CNN1.1 (ETo)
1,0.644429813515583,CNN1.1 (ETo)
2,0.6929385857113209,CNN1.1 (ETo)
3,0.7373373401482954,CNN1.1 (ETo)
4,0.7874648904780956,CNN1.1 (ETo)
5,0.8376210249626307,CNN1.1 (ETo)
6,0.8837833258970776,CNN1.1 (ETo)
7,0.9253160157524156,CNN1.1 (ETo)
8,0.9627358655312244,CNN1.1 (ETo)
9,0.9960575401498822,CNN1.1 (ETo)
0,0.6069843025364157,CNN1.1 (ETo)
1,0.6467515926476936,CNN1.1 (ETo)
2,0.704281175253209,CNN1.1 (ETo)
3,0.7383337280031874,CNN1.1 (ETo)
4,0.7770496049452357,CNN1.1 (ETo)
5,0.8172525470936214,CNN1.1 (ETo)
6,0.852645170596154,CNN1.1 (ETo)
7,0.8823467322333843,CNN1.1 (ETo)
8,0.90731059982757,CNN1.1 (ETo)
9,0.9282653465433883,CNN1.1 (ETo)
0,0.6232612149815141,CNN1.1 (ETo)
1,0.7078545641589749,CNN1.1 (ETo)
2,0.7936227583771175,CNN1.1 (ETo)
3,0.8449750719572691,CNN1.1 (ETo)
4,0.9068666629500866,CNN1.1 (ETo)
5,0.9670559164497565,CNN1.1 (ETo)
6,1.0164549473456106,CNN1.1 (ETo)
7,1.0541189128541564,CNN1.1 (ETo)
8,1.0878711542717832,CNN1.1 (ETo)
9,1.1202120620724594,CNN1.1 (ETo)
